City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,San Nicolas,PH,81.88,moderate rain,18.1725,120.5953,NORTHVIEW Hotel
453,Pereira Barreto,BR,78.66,overcast clouds,-20.6383,-51.1092,Hotel Pousada Pantal
457,Flinders,AU,87.21,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
466,Lithakia,GR,72.68,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
476,Anito,PH,86.94,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
480,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
485,Deogarh,IN,85.57,overcast clouds,21.5333,84.7333,Hotel Mamta Palace
486,Palomares,MX,73.2,overcast clouds,17.15,-95.0667,Hotel Monarca
487,Sakaiminato,JP,76.96,clear sky,35.55,133.2333,味処・民宿 まつや
488,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
491,Belle Glade,US,84.18,broken clouds,26.6845,-80.6676,Mid-City Trailer Park
492,Yelandur,IN,76.35,overcast clouds,12.0667,77.0333,Nisarga Home Stay
498,Uberlandia,BR,75.4,broken clouds,-18.9186,-48.2772,Hotel Apollo
500,Bilma,NE,76.98,clear sky,18.6853,12.9164,Expeditions Ténére voyages
501,Dingle,PH,87.58,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
504,Vila Velha,BR,71.55,mist,-20.3297,-40.2925,Quality Suites Vila Velha
506,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
507,Santa Cruz De La Palma,ES,71.74,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
508,Gushikawa,JP,81.99,moderate rain,26.3544,127.8686,Kirari Guest House
511,Manali,IN,87.89,broken clouds,13.1667,80.2667,Sarathy Lodge
512,Davila,PH,81.64,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
